"고객번호","연령","직업","근무기간","결혼상태","부양가족수","외국인여부","주거상태","거주년수","휴대폰개인명의여부","자산","수표계좌","저축계좌","대출이력","대출목적","대출금액","당행대출건수","기타할부상환계획","거래개월수","공동대출보증인","가처분소득중할부상환금비율","신용상태"
"A0001",67,"전문직/사무직","7년이상","싱글남",1,"예","자가",4,1,"실자산","마이너스","저축계좌없음","부채없음","오디오/TV구입",1500000,2,"없음",6,"없음",4,"우량"
"A0002",22,"전문직/사무직","1년~4년","이혼/별거/기혼녀",1,"예","자가",2,0,"실자산","50만원이하","100만원이하","현재부채상환지연","오디오/TV구입",7500000,1,"없음",48,"없음",2,"불량"
"A0003",49,"비숙련거주자","4년~7년","싱글남",2,"예","자가",3,0,"실자산","계좌없음","100만원이하","부채없음","학자금",2600000,1,"없음",12,"없음",2,"우량"
"A0004",45,"전문직/사무직","4년~7년","싱글남",2,"예","영구임대",4,0,"사회보장/생명보험","마이너스","100만원이하","현재부채상환지연","가구장비구입",9900000,1,"없음",42,"보증인있음",2,"우량"
"A0005",53,"전문직/사무직","1년~4년","싱글남",2,"예","영구임대",4,0,"모름/없음","마이너스","100만원이하","당은행부채상환완료","신차구입",6100000,2,"없음",24,"없음",3,"불량"
"A0006",35,"비숙련거주자","1년~4년","싱글남",2,"예","영구임대",4,1,"모름/없음","계좌없음","저축계좌없음","현재부채상환지연","학자금",11300000,1,"없음",36,"없음",2,"우량"
"A0007",53,"전문직/사무직","7년이상","싱글남",1,"예","자가",4,0,"사회보장/생명보험","계좌없음","500~1000만원","현재부채상환지연","가구장비구입",3500000,1,"없음",24,"없음",3,"우량"
"A0008",35,"관리직/자영업/숙련직/공무원","1년~4년","싱글남",1,"예","임대",2,1,"자동차/기타","50만원이하","100만원이하","현재부채상환지연","중고차구입",8700000,1,"없음",36,"없음",2,"우량"
"A0009",61,"비숙련거주자","4년~7년","이혼/별거남",1,"예","자가",4,0,"실자산","계좌없음","1000만원이상","현재부채상환지연","오디오/TV구입",3800000,1,"없음",12,"없음",2,"우량"
"A0010",28,"관리직/자영업/숙련직/공무원","미취업","사별/기혼남",1,"예","자가",2,0,"자동차/기타","50만원이하","100만원이하","부채없음","신차구입",6600000,2,"없음",30,"없음",4,"불량"
